,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
110,110,26,Female,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Often,True,Moderately,Yes,1,Yes,2,1,Product recommendations,Shipping speed and reliability,2023-06-06,15
111,111,25,Female,Less than once a month,Clothing and Fashion,Sometimes,Rarely,categories,First page,5,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,4,Sometimes,4,3,Wide product selection,Shipping speed and reliability,2023-06-06,15
112,112,26,Male,Few times a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Never,True,Occasionally,Sometimes,3,No,3,3,Product recommendations,Reducing packaging waste,2023-06-06,16
113,113,29,Male,Less than once a month,others,No,Rarely,Keyword,First page,4,No,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,Yes,3,Sometimes,4,4,Wide product selection,Product quality and accuracy,2023-06-06,16
114,114,23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,High shipping costs,Often,True,Moderately,Yes,2,Yes,3,4,Competitive prices,Reducing packaging waste,2023-06-06,16
115,115,30,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,1,Yes,1,2,Competitive prices,Customer service responsiveness,2023-06-06,17
116,116,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,True,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,2023-06-06,17
117,117,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Never,High shipping costs,Never,True,Heavily,Yes,4,Sometimes,3,3,Wide product selection,Reducing packaging waste,2023-06-06,18
118,118,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,No,3,Yes,2,2,Product recommendations,Product quality and accuracy,2023-06-06,18
119,120,23,Female,Less than once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Rarely,True,Moderately,Yes,2,Sometimes,2,1,Wide product selection,Shipping speed and reliability,2023-06-06,20
120,121,27,Male,Once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,2023-06-06,21
121,122,38,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Never,True,Moderately,Sometimes,4,Sometimes,4,2,Wide product selection,Product quality and accuracy,2023-06-06,22
122,123,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Never,True,Heavily,Yes,3,No,2,2,User-friendly website/app interface,Product quality and accuracy,2023-06-06,22
123,124,38,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,No,4,No,4,2,Product recommendations,Shipping speed and reliability,2023-06-07,0
124,125,23,Male,Few times a month,others,No,Few times a week,categories,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,2,Yes,3,3,Competitive prices,Reducing packaging waste,2023-06-07,0
125,126,24,Male,Once a week,Clothing and Fashion;others,No,Few times a week,categories,First page,2,No,Often,Found a better price elsewhere,Often,True,Occasionally,No,3,No,3,2,Product recommendations,Customer service responsiveness,2023-06-07,0
126,127,25,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Filter,First page,2,No,Often,Found a better price elsewhere,Sometimes,True,Heavily,No,2,Yes,3,2,Product recommendations,Customer service responsiveness,2023-06-07,0
127,128,26,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,True,Heavily,Yes,1,Yes,2,1,Wide product selection,Customer service responsiveness,2023-06-07,0
128,129,27,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,No,3,2,Competitive prices,Product quality and accuracy,2023-06-07,0
129,130,29,Prefer not to say,Once a week,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,1,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,No,2,1,Competitive prices,Customer service responsiveness,2023-06-07,0
130,131,35,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Never,No,4,No,3,2,Competitive prices,Reducing packaging waste,2023-06-07,0
131,132,21,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Yes,1,Sometimes,3,1,Competitive prices,Product quality and accuracy,2023-06-07,0
132,133,36,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,2,Yes,2,3,Product recommendations,Customer service responsiveness,2023-06-07,0
133,134,44,Female,Few times a month,Beauty and Personal Care,No,Multiple times a day,Filter,First page,2,No,Often,High shipping costs,Sometimes,True,Occasionally,No,2,No,2,2,Competitive prices,Customer service responsiveness,2023-06-07,0
134,135,32,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,True,Heavily,Yes,1,Yes,1,1,User-friendly website/app interface,Customer service responsiveness,2023-06-07,0
135,136,30,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,Yes,Always,High shipping costs,Often,True,Moderately,Yes,4,No,3,2,Competitive prices,Product quality and accuracy,2023-06-07,0
136,137,36,Others,Less than once a month,others,Sometimes,Rarely,others,First page,5,Maybe,Never,others,Never,True,Never,Sometimes,5,Sometimes,5,5,User-friendly website/app interface,Shipping speed and reliability,2023-06-07,0
137,138,25,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,2023-06-07,0
138,139,20,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,True,Heavily,Yes,4,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-07,0
139,140,35,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,2,Sometimes,4,3,Product recommendations,Product quality and accuracy,2023-06-07,0
140,141,42,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-07,0
141,142,37,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Often,True,Moderately,No,2,No,1,1,Product recommendations,Reducing packaging waste,2023-06-07,0
142,143,28,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,True,Heavily,Yes,3,Sometimes,2,1,Wide product selection,Customer service responsiveness,2023-06-07,0
143,144,27,Male,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a week,categories,First page,2,No,Often,Changed my mind or no longer need the item,Often,True,Heavily,Sometimes,3,No,2,2,Competitive prices,Customer service responsiveness,2023-06-07,0
144,145,45,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,categories,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Often,True,Moderately,No,2,No,2,2,Competitive prices,Product quality and accuracy,2023-06-07,0
145,146,35,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Keyword,First page,1,Yes,Rarely,High shipping costs,Always,True,Heavily,Yes,1,Yes,1,1,Competitive prices,Shipping speed and reliability,2023-06-07,0
146,147,50,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,3,Yes,Often,Changed my mind or no longer need the item,Rarely,True,Moderately,No,2,No,3,2,Competitive prices,Reducing packaging waste,2023-06-07,0
147,148,54,Female,Few times a month,Beauty and Personal Care;others,No,Few times a week,Keyword,First page,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,2,No,3,2,Competitive prices,Reducing packaging waste,2023-06-07,0
148,149,29,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,True,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy,2023-06-07,0
149,150,63,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-07,0
150,151,24,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,2,Sometimes,2,1,Competitive prices,Product quality and accuracy,2023-06-07,0
151,152,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,High shipping costs,Often,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Shipping speed and reliability,2023-06-07,0
152,153,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,High shipping costs,Always,True,Occasionally,Yes,5,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-07,0
153,154,29,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,True,Rarely,Yes,3,Yes,1,1,Competitive prices,Shipping speed and reliability,2023-06-07,0
154,155,46,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,No,2,Yes,3,2,Competitive prices,Reducing packaging waste,2023-06-07,0
155,156,24,Male,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Yes,4,5,Wide product selection,Nil,2023-06-07,0
156,157,33,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,True,Occasionally,No,2,No,2,2,Competitive prices,Reducing packaging waste,2023-06-07,0
157,158,33,Female,Once a week,Beauty and Personal Care;others,No,Few times a week,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,True,Occasionally,No,2,Yes,1,1,Product recommendations,Shipping speed and reliability,2023-06-07,0
158,159,31,Prefer not to say,Once a month,Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,No,3,No,5,4,Wide product selection,Shipping speed and reliability,2023-06-07,0
159,160,40,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Filter,First page,2,No,Always,High shipping costs,Often,True,Occasionally,No,1,Yes,1,2,Product recommendations,Reducing packaging waste,2023-06-07,0
160,161,37,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Always,True,Occasionally,No,2,No,3,4,Product recommendations,Customer service responsiveness,2023-06-07,0
161,162,25,Prefer not to say,Few times a month,Beauty and Personal Care,No,Rarely,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Often,True,Heavily,No,2,No,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-07,0
162,163,60,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,First page,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,2,No,2,3,Product recommendations,Customer service responsiveness,2023-06-07,0
163,164,18,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Rarely,No,4,No,4,4,Competitive prices,Reducing packaging waste,2023-06-07,0
164,165,50,Male,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,categories,Multiple pages,3,No,Never,others,Rarely,True,Occasionally,No,4,No,4,4,Product recommendations,Shipping speed and reliability,2023-06-07,0
165,166,24,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,True,Occasionally,Sometimes,3,No,2,3,Wide product selection,Product quality and accuracy,2023-06-07,0
166,167,19,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,No,3,2,Wide product selection,Customer service responsiveness,2023-06-07,0
167,168,18,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Always,True,Moderately,No,1,No,2,1,Wide product selection,Product quality and accuracy,2023-06-07,0
169,170,27,Female,Once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,True,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability,2023-06-07,1
170,171,23,Male,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Never,True,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,2023-06-07,1
171,172,35,Female,Few times a month,Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Rarely,Found a better price elsewhere,Often,True,Occasionally,No,2,No,4,2,Product recommendations,Reducing packaging waste,2023-06-07,1
172,173,57,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,True,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste,2023-06-07,1
173,174,54,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,3,No,Rarely,Found a better price elsewhere,Sometimes,True,Moderately,No,3,No,2,2,Competitive prices,Product quality and accuracy,2023-06-07,1
174,175,26,Prefer not to say,Once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Sometimes,High shipping costs,Often,True,Heavily,No,2,No,2,2,Wide product selection,Shipping speed and reliability,2023-06-07,1
175,176,46,Male,Once a week,Beauty and Personal Care,Sometimes,Rarely,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,True,Heavily,No,2,No,2,2,Competitive prices,Customer service responsiveness,2023-06-07,1
176,177,26,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,True,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list,2023-06-07,1
177,178,24,Male,Once a month,others,No,Few times a month,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,True,Heavily,Yes,1,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-07,1
178,179,26,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,True,Heavily,Yes,2,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,2023-06-07,1
179,180,27,Male,Once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,Maybe,Often,High shipping costs,Never,True,Heavily,Yes,3,Yes,1,2,Wide product selection,Shipping speed and reliability,2023-06-07,1
180,181,22,Female,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Always,True,Moderately,Sometimes,1,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-07,2
181,182,24,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Yes,3,3,Product recommendations,Customer service responsiveness,2023-06-07,2
182,183,25,Male,Multiple times a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Often,True,Occasionally,Sometimes,2,No,3,3,Competitive prices,Reducing packaging waste,2023-06-07,2
183,184,22,Prefer not to say,Once a month,Beauty and Personal Care,Yes,Few times a week,others,First page,2,Maybe,Often,Found a better price elsewhere,Sometimes,True,Heavily,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-07,2
184,185,27,Male,Once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Never,True,Heavily,Yes,3,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,2023-06-07,2
185,186,23,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,2,Yes,2,2,Competitive prices,Shipping speed and reliability,2023-06-07,4
186,187,24,Male,Less than once a month,Clothing and Fashion,No,Few times a month,categories,First page,1,Maybe,Sometimes,High shipping costs,Never,True,Heavily,Yes,3,Yes,3,3,User-friendly website/app interface,Product quality and accuracy,2023-06-07,4
187,188,24,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Never,True,Moderately,Yes,3,No,3,3,Competitive prices,Product quality and accuracy,2023-06-07,6
188,189,23,Female,Few times a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,4,Yes,3,4,User-friendly website/app interface,Product quality and accuracy,2023-06-07,8
189,190,23,Male,Once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,True,Heavily,Yes,3,No,3,3,Competitive prices,UI,2023-06-07,11
190,191,25,Female,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,Filter,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,Yes,3,Yes,3,3,Product recommendations,Reducing packaging waste,2023-06-07,14
191,192,21,Male,Once a week,Groceries and Gourmet Food,No,Few times a week,categories,First page,5,Maybe,Sometimes,High shipping costs,Rarely,True,Occasionally,No,3,No,3,3,User-friendly website/app interface,Customer service responsiveness,2023-06-07,14
192,193,36,Female,Few times a month,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,Sometimes,3,4,Wide product selection,Customer service responsiveness,2023-06-07,14
193,194,23,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,No,Often,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-07,14
194,195,23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness,2023-06-07,14
195,196,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness,2023-06-07,14
196,197,21,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,3,No,3,3,Competitive prices,Customer service responsiveness,2023-06-07,15
197,198,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Often,High shipping costs,Always,True,Heavily,Yes,3,Sometimes,3,3,Competitive prices,Product quality and accuracy,2023-06-07,16
198,199,26,Others,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Yes,Sometimes,High shipping costs,Sometimes,True,Occasionally,No,3,No,2,3,User-friendly website/app interface,Product quality and accuracy,2023-06-07,16
199,200,30,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Never,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-07,16
200,201,37,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Heavily,Yes,4,Sometimes,2,3,Wide product selection,Product quality and accuracy,2023-06-07,17
201,202,26,Female,Once a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,Yes,2,Yes,3,3,Competitive prices,Shipping speed and reliability,2023-06-07,17
202,203,46,Female,Once a month,others,Sometimes,Rarely,others,First page,5,Yes,Always,High shipping costs,Always,True,Rarely,Sometimes,1,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,2023-06-07,17
203,204,36,Female,Less than once a month,others,No,Rarely,others,Multiple pages,4,No,Never,others,Never,True,Never,Sometimes,4,Yes,4,4,User-friendly website/app interface,Product quality and accuracy,2023-06-07,17
204,205,40,Female,Less than once a month,Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Yes,3,Yes,2,2,Wide product selection,Customer service responsiveness,2023-06-07,17
205,206,41,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,True,Rarely,Yes,5,Yes,2,3,Wide product selection,Shipping speed and reliability,2023-06-07,17
206,207,34,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,True,Moderately,Sometimes,4,No,3,2,Wide product selection,Scrolling option would be much better than going to next page,2023-06-07,17
207,208,29,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,True,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy,2023-06-07,17
208,209,35,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,True,Rarely,Yes,2,Yes,3,3,Product recommendations,Product quality and accuracy,2023-06-07,17
209,210,32,Male,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,Yes,3,Yes,1,3,Product recommendations,Reducing packaging waste,2023-06-07,17
210,211,41,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,True,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-07,17
211,212,35,Female,Few times a month,Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,2,Yes,3,2,Wide product selection,Product quality and accuracy,2023-06-07,17
212,213,36,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,True,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste,2023-06-07,17
213,214,46,Female,Once a week,others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,Found a better price elsewhere,Often,True,Moderately,Yes,5,Sometimes,3,4,Wide product selection,Customer service responsiveness,2023-06-07,18
214,215,39,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,No,1,Sometimes,2,3,Wide product selection,Customer service responsiveness,2023-06-07,18
215,216,48,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,True,Occasionally,Yes,2,Yes,2,1,Wide product selection,Customer service responsiveness,2023-06-07,18
216,217,25,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Yes,3,4,Wide product selection,Customer service responsiveness,2023-06-07,18
217,218,38,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,True,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,2023-06-07,18
218,219,26,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Maybe,Sometimes,others,Sometimes,True,Occasionally,Sometimes,1,Yes,3,3,Competitive prices,Product quality and accuracy,2023-06-07,18
219,220,40,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,4,Yes,Sometimes,High shipping costs,Often,True,Rarely,Sometimes,3,No,4,3,User-friendly website/app interface,Product quality and accuracy,2023-06-07,18
